私 は,吸う
ここ で,吸う
すっと,小さく
小さく,吸う
息 を,吸う
吸う,
そう,いえば
いえば,終電
先週 まで は,終電
ずっと,終電
終電 だった んだ よ ね,
朱美 さん,綺麗な
綺麗な,人
人 だ し,欲しい
そんな,朱美 さん
朱美 さん の,笑顔
笑顔 の,お 兄ちゃん
写真,お 兄ちゃん
お 兄ちゃん も,欲しい
欲しい でしょ,
喋る,スピーカー
スピーカー に,浮かれて いる
浮かれて いる,場合 ない
場合 ない で は です よ,三上 部長
三上 部長,
萌 夢 ちゃん の,方
方 が,輝いて る
私 なんか より,輝いて る
よっぽど,輝いて る
輝いて る,
うん,
弊社 の,AI スピーカー
AI スピーカー,トロロ
トロロ は,して いる
スピーカー と,言う
言う より,丸い
丸い,ロボット
ロボット の ような,形
形 を,して いる
して いる,
そんな,こと
こと,言わ れて
言わ れて も,笹尾 先輩 ない
私 は,笹尾 先輩 ない
笹尾 先輩 ない じゃ,
だって,もん
私は私 だ,もん
もん,
平日 の,お 昼 前
お 昼 前 でも,乗る
こんなに,乗る
多く の,人
人 が,乗る
電車 に,乗る
乗る んだ ね,
そ したら,言い 出して
２ 人 が,住める
住める,部屋
広い,部屋
部屋 を,借りる
借りる より,安く ない
中古 の,家
家 を,買っちゃ った
買っちゃ った,ほう
ほう が,安く ない
安く ない って,言い 出して
父 が,言い 出して
言い 出して,買っちゃ った
それ で,手頃な
そこそこ,手頃な
手頃な,金額
金額 の,中古 物件
中古 物件 を,買っちゃ った
父 が,買っちゃ った
一括 で,買っちゃ った
買っちゃ った んだ,
さぁ〜,
トロロ,イマガクシュウチュウ
イマガクシュウチュウ,
私 の,声
声 に も,反応 しよう し ない
反応 しよう し ない と,
これ で,使える
みんな も,使える
安心 して,使える
トロロ,使える
使える ね,
そこ まで,揃え られて しまったら
材料 まで,揃え られて しまったら
揃え られて しまったら,同然だった
私 の,逃げ場
逃げ場 は,同然だった
塞が れた も,同然だった
同然だった,
それ が,でき ない
でき ない と,作ら れて しまい
無用の,ソースコード
ソースコード だけ が,作ら れて しまい
たくさん,作ら れて しまい
作ら れて しまい,ない
それ は,ない
お互い,不幸に なる
